sec,r.init,r.init was invoked (a)
4.453,1.097,StateMachine,before this.everyTime
4.455,2.882,StateMachine,after this.everyTime
4.457,1.382,StateMachine,run completed
4.458,1.013,Mainline,Ending state machine pass
4.458,0.522,Mainline,Begining state machine pass
4.460,1.494,StateMachine,before if(conditionsToCheck
4.461,1.426,StateMachine,before this.everyTime
4.463,1.398,StateMachine,after this.everyTime
4.464,1.221,StateMachine,run completed
4.465,0.989,Mainline,Ending state machine pass
4.465,0.531,Mainline,Begining state machine pass
4.466,0.679,StateMachine,before if(conditionsToCheck
4.467,0.630,StateMachine,before this.everyTime
4.467,0.735,StateMachine,after this.everyTime
4.468,0.509,StateMachine,run completed
4.469,0.573,Mainline,Ending state machine pass
4.469,0.414,Mainline,Begining state machine pass
4.470,0.694,StateMachine,before if(conditionsToCheck
4.471,1.172,StateMachine,before this.everyTime
4.472,0.786,StateMachine,after this.everyTime
4.472,0.587,StateMachine,run completed
4.473,0.772,Mainline,Ending state machine pass
4.473,0.441,Mainline,Begining state machine pass
4.475,1.161,StateMachine,before if(conditionsToCheck
4.476,1.249,StateMachine,before this.everyTime
4.477,0.797,StateMachine,after this.everyTime
4.477,0.761,StateMachine,run completed
